ID,Contractor,Size,Utility,Zip
20353,NM Solar Group Inc,8.0,PNM,87122
20373,Positive Energy Solar,6.4,PNM,87108
20375,Positive Energy Solar,5.3,PNM,87508
20376,Positive Energy Solar,2.6,PNM,87124
20377,Positive Energy Solar,5.3,PNM,87048
20429,Homeowner installed,9.9,PNM,87120
20432,"Solar Smart Living, LLC",10.7,EPE,88011
20434,Greenwired Inc./Dan Tittmann,4.4,PNM,87501
20436,Positive Energy Solar,7.4,PNM,87508
20437,Positive Energy Solar,3.0,LADPU,87544
20442,SunState Solar Inc./Energized Electric,3.6,PNM,87120
20461,PPC Solar,7.0,,87505
20463,NM Solar Group,6.2,PNM,87113
20464,Positive Energy Solar,6.7,PNM,87123
20465,Positive Energy Solar,7.8,PNM,87120
20466,"SolExergy, LLC",6.2,PNM,87144
20467,Positive Energy Solar,9.5,PNM,87048
20469,Positive Energy Solar,4.8,PNM,87508
20470,Positive Energy Solar,3.2,PNM,87114
20471,SunState Solar Inc./Energized,3.3,PNM,87120
20472,"SolExergy, LLC",9.1,CDEC,87301
20473,Positive Energy Solar,5.3,PNM,87505
20474,Affordable Solar Installation,6.4,PNM,87113
20475,SunState Solar Inc./Energized Electric,3.2,PNM,87120
20476,AmpUp Electric,13.5,PNM,87122
20484,Positive Energy Solar,10.5,PNM,87008
20486,Positive Energy Solar,4.6,PNM,87108
20487,Positive Energy Solar,7.0,PNM,87043
20488,Positive Energy Solar,3.2,PNM,87106
20489,Positive Energy Solar,4.2,PNM,87505
20490,Positive Energy Solar,5.4,PNM,87109
20491,Positive Energy Solar,3.8,PNM,87112
20492,Positive Energy Solar,4.9,PNM,87104
20493,Positive Energy Solar,7.0,PNM,87508
20494,Positive Energy Solar,8.3,JMEC,87532
20503,Positive Energy Solar,5.2,PNM,87501
20504,Positive Energy Solar,4.2,PNM,87507
20505,Positive Energy Solar,6.7,PNM,87508
20508,Positive Energy Solar,7.0,PNM,87031
20510,Positive Energy Solar,5.9,PNM,87122
20513,Positive Energy Solar,3.0,PNM,87508
20514,Positive Energy Solar,2.1,PNM,87507
20515,Positive Energy Solar,8.3,PNM,87111
20517,SUNRUN INSTALLATION SERVICE,3.3,PNM,87120
20518,Positive Energy Solar,5.1,PNM,87508
20519,Positive Energy Solar,4.9,PNM,87120
20520,Positive Energy Solar,5.6,PNM,87508
20521,Luz Energy,5.7,PNM,87107
20522,Positive Energy Solar,1.3,PNM,87111
20523,Los Ebanistas/Sol Luna Solar,6.8,PNM,87508
20524,Positive Energy Solar,8.4,PNM,87015
20525,Poulin Design Remolding,10.7,PNM,87113
20526,Erus Energy,2.9,EPE,88005
20527,Positive Energy Solar,7.7,PNM,87508
20528,OE Solar,7.6,PNM,87008
20529,Los Ebanistas/Sol Luna Solar,6.1,PNM,87111
20531,SunState Solar Inc./Energized,4.2,PNM,87112
20532,ION Solar,9.0,PNM,87122
20533,LOS EBANISTAS/SOL LUNA SOLAR,11.4,PNM,87506
20535,Erus Energy,2.8,PNM,88007
20536,Los Ebanistas/Sol Luna Solar,9.1,PNM,87508
20537,Positive Energy Solar,4.2,PNM,87144
20538,Positive Energy Solar,5.4,PNM,87505
20539,Positive Energy Solar,5.6,PNM,87508
20540,Positive Energy Solar,2.8,PNM,87508
20541,Positive Energy Solar,4.9,PNM,87008
20542,Positive Energy Solar,8.4,PNM,87104
20543,Positive Energy Solar,9.5,PNM,87114
20544,Positive Energy Solar,4.2,PNM,87124
20547,Select Solar LLC,7.0,LADPU,87544
20550,Los Ebanistas/Sol Luna Solar,9.3,PNM,87144
20551,NM Solar Group,10.4,PNM,87122
20552,Positive Energy Solar,5.1,PNM,87105
20553,Positive Energy Solar,3.8,CNMEC,87047
20554,Positive Energy Solar,7.0,PNM,87122
20555,Positive Energy Solar,4.6,PNM,87107
20556,Positive Energy Solar,6.3,PNM,87113
20557,Positive Energy Solar,6.1,PNM,87111
20558,Positive Energy Solar,3.9,PNM,87108
20559,Positive Energy Solar,3.5,PNM,87508
20560,Positive Energy Solar,10.9,PNM,87109
20561,Positive Energy Solar,3.2,PNM,87105
20562,Positive Energy Solar,11.5,PNM,87506
20563,SunState Solar Inc./Energized Electric,4.3,PNM,87144
20564,Positive Energy Solar,8.8,PNM,87107
20565,Positive Energy Solar,7.5,PNM,87508
20566,Positive Energy Solar,6.3,PNM,87505
20567,Positive Energy Solar,5.4,PNM,87501
20568,Positive Energy Solar,7.7,PNM,87506
20569,Positive Energy Solar,2.1,PNM,87501
20570,Positive Energy Solar,4.2,PNM,87112
20571,Energy Concepts,4.3,EPE,88007
20572,LOS EBANISTAS/SOL LUNA SOLAR,4.2,PNM,87104
20574,Positive Energy Solar,5.3,PNM,87508
20575,Ocotillo Solar Electric,15.3,PNM,87110
20576,Positive Energy Solar,10.9,PNM,87508
20577,Positive Energy Solar,6.1,PNM,87506
20578,Positive Energy Solar,5.6,PNM,87505
20579,Positive Energy Solar,4.6,PNM,87508
20580,Positive Energy Solar,7.4,PNM,87122
20581,Positive Energy Solar,7.0,PNM,87124
20582,Positive Energy Solar,4.0,JMEC,87025
20583,Positive Energy Solar,1.4,PNM,87507
20584,Positive Energy Solar,4.9,PNM,87108
20585,Positive Energy Solar,6.7,PNM,87508
20587,Positive Energy Solar,3.2,PNM,87505
20588,Positive Energy Solar,5.6,PNM,87505
20589,Positive Energy Solar,5.6,PNM,87501
20590,NM Solar Group,4.3,LADPU,87544
20591,AmpUp Electric,13.3,PNM,87122
20592,Positive Energy Solar,7.0,PNM,87122
20593,Positive Energy Solar,16.1,PNM,87048
20594,Positive Energy Solar,11.2,PNM,87122
20595,Positive Energy Solar,5.1,PNM,87110
20596,Positive Energy Solar,10.5,PNM,87122
20597,Positive Energy Solar,5.3,PNM,87048
20598,Positive Energy Solar,5.3,PNM,87048
20599,Positive Energy Solar,10.1,PNM,87507
20600,Positive Energy Solar,6.1,PNM,87507
20601,Positive Energy Solar,5.9,PNM,87505
20602,Positive Energy Solar,6.7,PNM,87505
20604,Positive Energy Solar,3.2,PNM,87505
20609,Erus Energy,5.4,EPE,88001
20613,Affordable Solar Installation,4.4,PNM,87111
20614,Energy Concepts,8.8,PNM,87508
20621,SunState Solar Inc./Energized,2.9,PNM,87120
20623,NM Solar Group,8.2,PNM,87122
20639,Positive Energy Solar,5.2,PNM,87008
20641,Positive Energy Solar,7.2,PNM,87120
20642,Positive Energy Solar,5.2,PNM,87110
20643,Positive Energy Solar,5.3,PNM,87107
20644,Positive Energy Solar,3.3,PNM,87106
20645,Positive Energy Solar,8.1,PNM,87107
20647,Positive Energy Solar,10.2,PNM,87122
20648,Positive Energy Solar,2.5,PNM,87507
20649,Positive Energy Solar,4.6,PNM,87505
20650,NM Solar Group,9.6,other,87107
20666,SunState Solar Inc./Energized,9.7,PNM,87123
20671,Select Solar LLC,8.9,JMEC,87506
