TaxCreditApplicationID,ReviewDate
20353,10/5/2020
20373,10/5/2020
20375,10/5/2020
20376,10/5/2020
20377,10/5/2020
20429,10/5/2020
20432,10/5/2020
20434,10/5/2020
20436,10/5/2020
20437,10/5/2020
20442,9/18/2020
20461,9/23/2020
20463,10/5/2020
20464,10/5/2020
20465,10/5/2020
20466,10/5/2020
20467,10/5/2020
20469,10/5/2020
20470,10/5/2020
20471,10/5/2020
20472,10/5/2020
20473,10/5/2020
20474,10/5/2020
20475,10/5/2020
20476,10/5/2020
20484,10/5/2020
20486,10/5/2020
20487,10/5/2020
20488,10/5/2020
20489,11/20/2020
20490,10/5/2020
20491,11/20/2020
20492,10/5/2020
20493,10/5/2020
20494,10/5/2020
20503,10/7/2020
20504,10/7/2020
20505,10/7/2020
20508,10/7/2020
20510,10/7/2020
20513,10/7/2020
20514,10/7/2020
20515,10/7/2020
20517,10/16/2020
20518,10/7/2020
20519,10/7/2020
20520,10/7/2020
20521,10/7/2020
20522,10/7/2020
20523,10/7/2020
20524,10/7/2020
20525,10/9/2020
20526,10/9/2020
20527,10/9/2020
20528,10/9/2020
20529,10/9/2020
20531,10/9/2020
20532,10/9/2020
20533,10/26/2020
20535,10/9/2020
20536,10/9/2020
20537,10/9/2020
20538,10/9/2020
20539,10/9/2020
20540,10/9/2020
20541,10/9/2020
20542,10/9/2020
20543,10/9/2020
20544,10/9/2020
20547,10/15/2020
20550,10/15/2020
20551,10/15/2020
20552,10/15/2020
20553,10/15/2020
20554,10/15/2020
20555,10/15/2020
20556,10/15/2020
20557,10/23/2020
20558,10/15/2020
20559,10/15/2020
20560,10/15/2020
20561,10/16/2020
20562,10/16/2020
20563,2/10/2021
20564,10/16/2020
20565,10/16/2020
20566,10/16/2020
20567,10/16/2020
20568,10/16/2020
20569,10/16/2020
20570,10/16/2020
20571,10/23/2020
20572,10/16/2020
20574,10/23/2020
20575,10/23/2020
20576,10/23/2020
20577,10/23/2020
20578,10/23/2020
20579,10/23/2020
20580,10/23/2020
20581,10/23/2020
20582,10/23/2020
20583,10/23/2020
20584,10/23/2020
20585,10/23/2020
20587,10/23/2020
20588,10/23/2020
20589,10/23/2020
20590,10/23/2020
20591,10/23/2020
20592,10/23/2020
20593,10/23/2020
20594,10/23/2020
20595,10/23/2020
20596,10/23/2020
20597,10/23/2020
20598,10/23/2020
20599,10/23/2020
20600,10/23/2020
20601,10/23/2020
20602,10/23/2020
20604,10/23/2020
20609,10/26/2020
20613,10/26/2020
20614,10/26/2020
20621,11/2/2020
20623,11/20/2020
20639,11/2/2020
20641,11/2/2020
20642,11/2/2020
20643,11/2/2020
20644,11/2/2020
20645,11/2/2020
20647,11/2/2020
20648,11/2/2020
20649,11/2/2020
20650,11/2/2020
20666,11/2/2020
20671,11/20/2020
20672,11/3/2020
20673,11/3/2020
20676,11/10/2020
20677,11/10/2020
20678,11/10/2020
20679,11/10/2020
20680,11/10/2020
20681,11/10/2020
20682,11/10/2020
20683,11/10/2020
20684,11/10/2020
20685,11/10/2020
20686,11/10/2020
20687,11/10/2020
20688,11/10/2020
20690,11/10/2020
20695,11/10/2020
20696,11/10/2020
20699,11/10/2020
20700,11/10/2020
20701,11/10/2020
20712,11/10/2020
20713,11/10/2020
20714,11/10/2020
20715,11/10/2020
20716,11/10/2020
20717,11/10/2020
20718,11/10/2020
20719,11/10/2020
20720,11/10/2020
20721,11/10/2020
20722,11/10/2020
20723,11/12/2020
20724,11/12/2020
20725,11/12/2020
20726,11/12/2020
20727,11/12/2020
20728,11/12/2020
20729,11/12/2020
20730,11/12/2020
20731,11/12/2020
20732,11/12/2020
20733,11/12/2020
20734,11/12/2020
20735,11/12/2020
20736,11/12/2020
20737,11/13/2020
20738,11/13/2020
20739,11/13/2020
20740,11/13/2020
20741,11/13/2020
20749,11/13/2020
20750,11/13/2020
20751,11/13/2020
20752,11/17/2020
20753,11/17/2020
20754,11/13/2020
20755,11/13/2020
20756,11/13/2020
20757,11/13/2020
20758,11/13/2020
20759,11/13/2020
20760,11/13/2020
20761,11/13/2020
20762,11/13/2020
20763,11/13/2020
20774,11/17/2020
20775,11/17/2020
20776,11/17/2020
20778,11/17/2020
20781,11/17/2020
20782,11/17/2020
20783,11/20/2020
20786,11/20/2020
20787,11/20/2020
20790,11/20/2020
20793,11/20/2020
20794,11/20/2020
20795,11/20/2020
20796,1/19/2021
20813,11/30/2020
20815,11/30/2020
20816,11/30/2020
20818,12/1/2020
20819,12/1/2020
20824,12/7/2020
20825,12/7/2020
20826,12/30/2020
20827,12/7/2020
20828,12/7/2020
20829,12/7/2020
20830,12/7/2020
20831,12/7/2020
20832,12/7/2020
20833,12/11/2020
20834,12/7/2020
20835,12/7/2020
20836,12/7/2020
20837,12/7/2020
20838,12/7/2020
20856,12/7/2020
20857,12/7/2020
20865,12/7/2020
20866,12/7/2020
20870,12/7/2020
20871,12/7/2020
20872,12/7/2020
20874,12/7/2020
20875,12/7/2020
20876,12/7/2020
20879,12/8/2020
20880,12/8/2020
20882,12/11/2020
20883,12/11/2020
20884,12/11/2020
20885,12/11/2020
20886,12/11/2020
20887,12/11/2020
20888,12/11/2020
20889,12/11/2020
20890,12/11/2020
20891,12/11/2020
20892,12/11/2020
20893,12/11/2020
20894,12/11/2020
20895,12/11/2020
20896,12/11/2020
20897,12/11/2020
20898,12/11/2020
20901,12/11/2020
20902,12/11/2020
20903,12/11/2020
20904,12/11/2020
20905,12/11/2020
20906,12/11/2020
20907,12/11/2020
20908,12/11/2020
20909,12/11/2020
20910,12/11/2020
20911,12/11/2020
20912,12/11/2020
20913,12/11/2020
20914,12/11/2020
20915,12/11/2020
20916,12/11/2020
20917,12/11/2020
20918,12/11/2020
20919,12/16/2020
20920,12/16/2020
20921,12/16/2020
20922,12/16/2020
20923,12/16/2020
20924,12/16/2020
20925,12/16/2020
20926,12/16/2020
20927,12/16/2020
20928,12/16/2020
20929,12/16/2020
20930,12/16/2020
20931,12/16/2020
20932,12/16/2020
20933,12/16/2020
20934,12/16/2020
20935,12/16/2020
